Word,Lemmatized Noun,Lemmatized Adjective,Tag
little,little,little,a
gray,gray,gray,a
cat,cat,cat,n
enough,enough,enough,a
build,build,build,n
bridge,bridge,bridge,n
cat,cat,cat,n
times,time,times,n
building,building,building,n
bridge,bridge,bridge,n
ideological,ideological,ideological,a
war,war,war,n
vision,vision,vision,n
revolution,revolution,revolution,n
sties,sty,sties,n
power,power,power,n
dream,dream,dream,n
teacher,teacher,teacher,n
scholar,scholar,scholar,a
literature,literature,literature,n
power,power,power,n
texts,text,texts,n
exercise,exercise,exercise,n
culture,culture,culture,n
society,society,society,n
cat,cat,cat,n
newborns,newborn,newborns,n
safety,safety,safety,n
students,student,students,n
hunt,hunt,hunt,n
engaging,engaging,engaging,a
literature,literature,literature,n
critical,critical,critical,a
faculty,faculty,faculty,n
assault,assault,assault,a
media,medium,media,n
discussions,discussion,discussions,n
iran,iran,iran,a
dark,dark,dark,a
method,method,method,n
life,life,life,n
iran,iran,iran,n
hampers,hamper,hampers,n
critical,critical,critical,a
ability,ability,ability,n
question,question,question,n
vision,vision,vision,n
popular,popular,popular,a
media,medium,media,n
jasmine,jasmine,jasmine,n
stars,star,stars,n
book,book,book,n
title,title,title,n
metaphors,metaphor,metaphors,n
childhood,childhood,childhood,n
youth,youth,youth,n
trouble,trouble,trouble,n
free,free,free,a
specic,specic,specic,a
inspirations,inspiration,inspirations,n
historic,historic,historic,a
city,city,city,n
shiraz,shiraz,shiraz,n
southwest,southwest,southwest,n
iran,iran,iran,n
school,school,school,n
university,university,university,n
gender,gender,gender,n
equality,equality,equality,n
freedom,freedom,freedom,n
press,press,press,n
freedom,freedom,freedom,n
academic,academic,academic,a
world,world,world,n
religious,religious,religious,a
minorities,minority,minorities,n
unrestricted,unrestricted,unrestricted,a
practice,practice,practice,n
faiths,faith,faiths,n
important,important,important,a
early,early,early,a
book,book,book,n
students,student,students,n
shares,share,shares,n
story,story,story,n
imprisonment,imprisonment,imprisonment,n
group,group,group,n
perverse,perverse,perverse,a
way,way,way,n
author,author,author,n
punishment,punishment,punishment,n
source,source,source,n
satisfaction,satisfaction,satisfaction,n
young,young,young,a
woman,woman,woman,n
harsh,harsh,harsh,a
punishment,punishment,punishment,a
comment,comment,comment,n
incident,incident,incident,n
muslim,muslim,muslim,a
women,woman,women,n
passive,passive,passive,a
masochistic,masochistic,masochistic,a
victims,victim,victims,n
peaceful,peaceful,peaceful,a
means,mean,means,n
revolution,revolution,revolution,n
place,place,place,n
non,non,non,a
western,western,western,a
parts,part,parts,n
world,world,world,n
case,case,case,n
iran,iran,iran,n
result,result,result,n
decades,decade,decades,n
centuries,century,centuries,n
issues,issue,issues,n
outright,outright,outright,a
colonization,colonization,colonization,n
territories,territory,territories,n
pursuit,pursuit,pursuit,n
short,short,short,a
term,term,term,n
economic,economic,economic,a
introduction,introduction,introduction,n
goals,goal,goals,n
cultural,cultural,cultural,a
illiteracy,illiteracy,illiteracy,n
disrespect,disrespect,disrespect,a
injustice,injustice,injustice,a
poverty,poverty,poverty,n
totalitarianism,totalitarianism,totalitarianism,n
memories,memory,memories,n
years,year,years,n
illustrated,illustrated,illustrated,a
persian,persian,persian,a
manuscript,manuscript,manuscript,n
introduction,introduction,introduction,n
introduce,introduce,introduce,n
imaginative,imaginative,imaginative,a
poet,poet,poet,a
twentiethcentury,twentiethcentury,twentiethcentury,n
iran,iran,iran,n
farrokhzad,farrokhzad,farrokhzad,a
poetry,poetry,poetry,n
way,way,way,n
friends,friend,friends,n
high,high,high,a
school,school,school,n
life,life,life,n
death,death,death,n
stars,star,stars,n
midsummer,midsummer,midsummer,a
nights,night,nights,n
childhood,childhood,childhood,n
youth,youth,youth,n
jasmine,jasmine,jasmine,n
blossoms,blossom,blossoms,n
prayer,prayer,prayer,a
rug,rug,rug,n
jasmine,jasmine,jasmine,a
stars,star,stars,n
grasshoppers,grasshopper,grasshoppers,n
summer,summer,summer,n
nights,night,nights,n
journey,journey,journey,n
clear,clear,clear,a
stops,stop,stops,n
sense,sense,sense,n
peace,peace,peace,n
night,night,night,n
grateful,grateful,grateful,a
walk,walk,walk,n
water,water,water,n
plants,plant,plants,n
little,little,little,a
white,white,white,a
jasmine,jasmine,jasmine,n
jasmine,jasmine,jasmine,n
grasshoppers,grasshopper,grasshoppers,n
blossoms,blossom,blossoms,n
wall,wall,wall,n
yard,yard,yard,n
way,way,way,n
top,top,top,a
grandmother,grandmother,grandmother,n
associated,associated,associated,a
owers,owers,owers,n
fresh,fresh,fresh,a
jasmine,jasmine,jasmine,n
prayer,prayer,prayer,a
rug,rug,rug,a
next,next,next,a
morning,morning,morning,n
windows,window,windows,n
suspicious,suspicious,suspicious,a
green,green,green,a
spot,spot,spot,n
glad,glad,glad,a
home,home,home,n
cash,cash,cash,n
register,register,register,n
young,young,young,a
girl,girl,girl,n
extraordinary,extraordinary,extraordinary,a
pair,pair,pair,n
green,green,green,a
earrings,earring,earrings,n
cashier,cashier,cashier,n
incident,incident,incident,n
explain,explain,explain,a
mean,mean,mean,a
power,power,power,n
storyline,storyline,storyline,n
freedom,freedom,freedom,a
imagine,imagine,imagine,n
vision,vision,vision,n
books,book,books,n
blurb,blurb,blurb,a
promises,promise,promises,n
book,book,book,n
exploration,exploration,exploration,n
resilience,resilience,resilience,n
people,people,people,n
tyranny,tyranny,tyranny,a
celebration,celebration,celebration,n
power,power,power,n
literature,literature,literature,n
fact,fact,fact,n
book,book,book,n
things,thing,things,n
people,people,people,n
chapel,chapel,chapel,a
presentation,presentation,presentation,n
lled,lled,lled,a
large,large,large,a
audience,audience,audience,n
iranian,iranian,iranian,a
hand,hand,hand,n
totalitarianism,totalitarianism,totalitarianism,n
transformative,transformative,transformative,a
power,power,power,n
literature,literature,literature,n
book,book,book,n
celebrate,celebrate,celebrate,a
power,power,power,n
literature,literature,literature,n
erased,erased,erased,a
prevalent,prevalent,prevalent,a
cultural,cultural,cultural,a
behavior,behavior,behavior,n
society,society,society,n
revolutionary,revolutionary,revolutionary,a
guard,guard,guard,n
arrest,arrest,arrest,a
member,member,member,n
opposition,opposition,opposition,n
hid,hid,hid,n
woman,woman,woman,n
servant,servant,servant,a
author,author,author,n
house,house,house,n
fear,fear,fear,n
shot,shot,shot,a
reference,reference,reference,n
serious,serious,serious,a
problems,problem,problems,n
iran,iran,iran,a
shah,shah,shah,a
revolution,revolution,revolution,n
motivated,motivated,motivated,a
longing,longing,longing,n
fanaticism,fanaticism,fanaticism,n
dislike,dislike,dislike,n
freedom,freedom,freedom,n
modernization,modernization,modernization,n
day,day,day,n
series,series,series,n
campus,campus,campus,a
chapel,chapel,chapel,n
introductory,introductory,introductory,a
remarks,remark,remarks,n
doors,door,doors,n
open,open,open,a
people,people,people,n
chapel,chapel,chapel,a
full,full,full,a
latter,latter,latter,n
tasteful,tasteful,tasteful,a
small,small,small,a
tables,table,tables,n
fragile,fragile,fragile,a
candles,candle,candles,n
terraces,terrace,terraces,n
pool,pool,pool,n
homemade,homemade,homemade,a
wine,wine,wine,n
author,author,author,n
presentation,presentation,presentation,n
day,day,day,n
dark,dark,dark,a
deeds,deed,deeds,n
iranian,iranian,iranian,a
revolution,revolution,revolution,n
power,power,power,n
literature,literature,literature,n
personal,personal,personal,a
memoir,memoir,memoir,n
liberty,liberty,liberty,a
ction,ction,ction,n
authority,authority,authority,n
political,political,political,a
observer,observer,observer,n
instruction,instruction,instruction,n
wall,wall,wall,n
cincinnatus,cincinnatus,cincinnatus,n
jail,jail,jail,n
prisoner,prisoner,prisoner,n
meekness,meekness,meekness,n
prison,prison,prison,n
fond,fond,fond,a
nabokov,nabokov,nabokov,n
works,work,works,n
talk,talk,talk,n
likely,likely,likely,a
invitation,invitation,invitation,n
lolita,lolita,lolita,a
quote,quote,quote,n
novel,novel,novel,n
rule,rule,rule,n
number,number,number,n
prisoners,prisoner,prisoners,n
desirable,desirable,desirable,a
inmates,inmate,inmates,n
something,something,something,n
good,good,good,a
brought,brought,brought,n
attention,attention,attention,n
power,power,power,n
literature,literature,literature,n
retrospect,retrospect,retrospect,a
postlecture,postlecture,postlecture,n
round,round,round,n
table,table,table,a
author,author,author,n
comments,comment,comments,n
smaller,smaller,small,a
audience,audience,audience,n
book,book,book,n
special,special,special,a
attention,attention,attention,n
hostess,hostess,hostess,n
question,question,question,n
mind,mind,mind,n
world,world,world,n
literary,literary,literary,a
masterpieces,masterpiece,masterpieces,n
universal,universal,universal,a
remarkable,remarkable,remarkable,a
reading,reading,reading,n
lolita,lolita,lolita,a
city,city,city,n
tehran,tehran,tehran,n
others,others,others,n
deep,deep,deep,a
sense,sense,sense,n
guilt,guilt,guilt,n
image,image,image,n
entire,entire,entire,a
nation,nation,nation,n
custody,custody,custody,n
get,get,get,n
joke,joke,joke,n
lunch,lunch,lunch,n
question,question,question,n
memory,memory,memory,n
spoon,spoon,spoon,n
caption,caption,caption,n
bce,bce,bce,n
iran,iran,iran,n
incidents,incident,incidents,n
sad,sad,sad,a
inevitable,inevitable,inevitable,a
conclusion,conclusion,conclusion,n
entered,entered,entered,a
cultural,cultural,cultural,a
war,war,war,n
next,next,next,a
half,half,half,a
hour,hour,hour,n
explain,explain,explain,n
signs,sign,signs,n
frantic,frantic,frantic,a
attempts,attempt,attempts,n
question,question,question,n
exasperated,exasperated,exasperated,a
failure,failure,failure,n
understand,understand,understand,n
point,point,point,n
son,son,son,n
fatemeh,fatemeh,fatemeh,a
sign,sign,sign,n
zodiac,zodiac,zodiac,n
unclear,unclear,unclear,a
words,word,words,n
take,take,take,n
walk,walk,walk,n
garden,garden,garden,n
enjoy,enjoy,enjoy,n
beautiful,beautiful,beautiful,a
autumn,autumn,autumn,n
afternoon,afternoon,afternoon,n
dark,dark,dark,a
situation,situation,situation,n
beauty,beauty,beauty,n
possible,possible,possible,a
age,age,age,n
manuscript,manuscript,manuscript,n
book,book,book,n
picked,picked,picked,a
brief,brief,brief,n
question,question,question,n
answer,answer,answer,n
talk,talk,talk,n
iranian,iranian,iranian,a
american,american,american,a
day,day,day,n
life,life,life,n
case,case,case,n
present,present,present,a
day,day,day,n
recent,recent,recent,a
nuclear,nuclear,nuclear,a
dispute,dispute,dispute,n
immediacy,immediacy,immediacy,n
sense,sense,sense,n
threat,threat,threat,n
jasmine,jasmine,jasmine,n
grasshoppers,grasshopper,grasshoppers,n
poverty,poverty,poverty,a
lack,lack,lack,n
education,education,education,n
personal,personal,personal,a
devotion,devotion,devotion,n
baby,baby,baby,n
family,family,family,n
growth,growth,growth,n
case,case,case,n
realize,realize,realize,a
students,student,students,n
fact,fact,fact,n
poets,poet,poets,n
outside,outside,outside,a
books,book,books,n
literature,literature,literature,a
classes,class,classes,n
low,low,low,a
visit,visit,visit,n
garden,garden,garden,n
favorite,favorite,favorite,a
fourteenthcentury,fourteenthcentury,fourteenthcentury,n
ghazal,ghazal,ghazal,n
writer,writer,writer,n
next,next,next,a
search,search,search,n
mind,mind,mind,n
bad,bad,bad,a
punishment,punishment,punishment,n
bent,bent,bent,n
ear,ear,ear,a
maman,maman,maman,n
ready,ready,ready,a
repeat,repeat,repeat,n
question,question,question,n
times,time,times,n
sa,sa,sa,a
di,di,di,a
farrokhzad,farrokhzad,farrokhzad,n
real,real,real,a
life,life,life,n
poetry,poetry,poetry,n
imaginative,imaginative,imaginative,a
curious,curious,curious,a
eternal,eternal,eternal,a
forough,forough,forough,n
full,full,full,a
urge,urge,urge,n
live,live,live,a
afraid,afraid,afraid,a
death,death,death,n
day,day,day,n
amazing,amazing,amazing,a
part,part,part,n
physics,physic,physics,n
important,important,important,a
share,share,share,n
news,news,news,n
poet,poet,poet,n
death,death,death,n
fteen,fteen,fteen,a
year,year,year,n
old,old,old,a
students,student,students,n
amazing,amazing,amazing,a
thing,thing,thing,n
farrokhzad,farrokhzad,farrokhzad,a
death,death,death,n
single,single,single,a
forough,forough,forough,n
farrokhzad,farrokhzad,farrokhzad,n
doubt,doubt,doubt,n
others,others,others,n
everyone,everyone,everyone,n
exceptional,exceptional,exceptional,a
fairy,fairy,fairy,n
princess,princess,princess,n
robust,robust,robust,a
presence,presence,presence,n
captive,captive,captive,a
legends,legend,legends,n
book,book,book,n
power,power,power,n
literature,literature,literature,n
contemporary,contemporary,contemporary,a
iran,iran,iran,n
professor,professor,professor,a
literature,literature,literature,n
describe,describe,describe,n
lolita,lolita,lolita,a
tehran,tehran,tehran,n
likely,likely,likely,a
source,source,source,n
iranian,iranian,iranian,a
woman,woman,woman,n
poet,poet,poet,n
farrokhzad,farrokhzad,farrokhzad,n
import,import,import,n
book,book,book,n
clarify,clarify,clarify,n
immediate,immediate,immediate,a
aftermath,aftermath,aftermath,a
revolution,revolution,revolution,n
war,war,war,n
attention,attention,attention,n
matters,matter,matters,n
literature,literature,literature,n
book,book,book,n
cannot,cannot,cannot,a
comment,comment,comment,n
good,good,good,a
eternal,eternal,eternal,a
forough,forough,forough,n
translation,translation,translation,n
existence,existence,existence,n
audience,audience,audience,n
eager,eager,eager,n
eco,eco,eco,a
master,master,master,n
work,work,work,n
war,war,war,n
iran,iran,iran,n
late,late,late,a
issue,issue,issue,n
lack,lack,lack,n
specicity,specicity,specicity,n
dark,dark,dark,a
house,house,house,n
reader,reader,reader,n
little,little,little,a
choice,choice,choice,n
way,way,way,n
elephant,elephant,elephant,a
postrevolutionary,postrevolutionary,postrevolutionary,a
iran,iran,iran,n
discussion,discussion,discussion,n
opinions,opinion,opinions,n
gift,gift,gift,n
carry,carry,carry,n
day,day,day,n
look,look,look,n
candles,candle,candles,n
matter,matter,matter,n
western,western,western,a
scholarly,scholarly,scholarly,a
studies,study,studies,n
reasons,reason,reasons,n
know,know,know,a
guts,gut,guts,n
something,something,something,n
wrong,wrong,wrong,a
muslim,muslim,muslim,a
civilization,civilization,civilization,n
glory,glory,glory,n
middle,middle,middle,a
ages,age,ages,n
ahistorical,ahistorical,ahistorical,a
tale,tale,tale,n
failure,failure,failure,n
healthy,healthy,healthy,a
dose,dose,dose,n
shame,shame,shame,n
doubt,doubt,doubt,n
guilt,guilt,guilt,n
ces,ce,ces,n
coins,coin,coins,n
others,others,others,n
idea,idea,idea,n
cyrus,cyrus,cyrus,n
great,great,great,a
freed,freed,freed,a
captive,captive,captive,a
jews,jew,jews,n
babylon,babylon,babylon,n
racial,racial,racial,a
prejudice,prejudice,prejudice,n
guts,gut,guts,n
loud,loud,loud,a
biting,biting,biting,n
humor,humor,humor,n
conviction,conviction,conviction,n
poem,poem,poem,n
land,land,land,n
state,state,state,n
propaganda,propaganda,propaganda,n
machine,machine,machine,n
comfortable,comfortable,comfortable,a
loving,loving,loving,n
arms,arm,arms,n
glorious,glorious,glorious,a
historical,historical,historical,a
past,past,past,n
lullaby,lullaby,lullaby,n
civilization,civilization,civilization,n
culture,culture,culture,n
noise,noise,noise,n
ratchet,ratchet,ratchet,n
law,law,law,n
comfortable,comfortable,comfortable,a
infantile,infantile,infantile,a
state,state,state,n
happiness,happiness,happiness,a
resident,resident,resident,n
land,land,land,n
everything,everything,everything,n
wrong,wrong,wrong,a
eternal,eternal,eternal,a
forough,forough,forough,a
country,country,country,n
nightingales,nightingale,nightingales,n
question,question,question,n
western,western,western,a
audience,audience,audience,n
fact,fact,fact,n
concern,concern,concern,n
share,share,share,n
cultural,cultural,cultural,a
heritage,heritage,heritage,n
nurse,nurse,nurse,a
self,self,self,n
guilty,guilty,guilty,a
backwardness,backwardness,backwardness,n
question,question,question,n
person,person,person,n
open,open,open,a
farrokhzad,farrokhzad,farrokhzad,n
appreciated,appreciated,appreciated,a
country,country,country,n
place,place,place,n
centuries,century,centuries,n
high,high,high,a
rate,rate,rate,n
illiteracy,illiteracy,illiteracy,n
traditional,traditional,traditional,a
culture,culture,culture,n
everything,everything,everything,n
book,book,book,n
year,year,year,n
notorious,notorious,notorious,a
festival,festival,festival,a
art,art,art,n
jashne,jashne,jashne,n
honar,honar,honar,n
letters,letter,letters,n
phone,phone,phone,n
audience,audience,audience,n
fact,fact,fact,n
tape,tape,tape,n
recorder,recorder,recorder,n
front,front,front,a
seat,seat,seat,n
car,car,car,n
case,case,case,n
person,person,person,n
interview,interview,interview,n
fact,fact,fact,n
care,care,care,n
occasion,occasion,occasion,n
thoughtless,thoughtless,thoughtless,a
question,question,question,n
course,course,course,n
undemocratic,undemocratic,undemocratic,a
society,society,society,n
example,example,example,n
sign,sign,sign,n
inferiority,inferiority,inferiority,n
lack,lack,lack,n
intelligence,intelligence,intelligence,n
taught,taught,taught,a
question,question,question,n
things,thing,things,n
part,part,part,n
thirds,third,thirds,n
world,world,world,n
self,self,self,n
deprivation,deprivation,deprivation,n
onethird,onethird,onethird,a
views,view,views,n
superior,superior,superior,a
learn,learn,learn,a
traditional,traditional,traditional,a
societies,society,societies,n
sense,sense,sense,n
freedom,freedom,freedom,n
power,power,power,n
chancellor,chancellor,chancellor,n
show,show,show,n
intellectual,intellectual,intellectual,a
capacity,capacity,capacity,n
ambition,ambition,ambition,n
question,question,question,n
aunt,aunt,aunt,n
projection,projection,projection,n
power,power,power,n
tradition,tradition,tradition,n
cultures,culture,cultures,n
traditions,tradition,traditions,n
er,er,er,a
power,power,power,n
little,little,little,a
know,know,know,a
war,war,war,n
break,break,break,n
iran,iran,iran,n
iraq,iraq,iraq,n
daughter,daughter,daughter,a
years,year,years,n
old,old,old,a
time,time,time,n
years,year,years,n
divorced,divorced,divorced,a
home,home,home,n
embodiment,embodiment,embodiment,a
concept,concept,concept,n
disaster,disaster,disaster,n
deal,deal,deal,n
divorce,divorce,divorce,n
frustrations,frustration,frustrations,n
wall,wall,wall,n
call,call,call,n
minoo,minoo,minoo,n
meet,meet,meet,n
living,living,living,a
orange,orange,orange,n
county,county,county,n
california,california,california,n
part,part,part,n
feminist,feminist,feminist,n
group,group,group,n
discuss,discus,discuss,a
latest,latest,late,a
next,next,next,a
hour,hour,hour,n
hands,hand,hands,n
silence,silence,silence,n
aimless,aimless,aimless,n
dizzy,dizzy,dizzy,n
joy,joy,joy,n
sentence,sentence,sentence,n
explain,explain,explain,n
others,others,others,n
open,open,open,a
eyes,eye,eyes,n
close,close,close,a
sink,sink,sink,n
fantasies,fantasy,fantasies,n
human,human,human,a
sexuality,sexuality,sexuality,n
abuse,abuse,abuse,n
challenge,challenge,challenge,n
bring,bring,bring,a
shifts,shift,shifts,n
cultural,cultural,cultural,a
values,value,values,n
example,example,example,n
students,student,students,n
painful,painful,painful,a
incident,incident,incident,n
abuse,abuse,abuse,n
age,age,age,n
young,young,young,a
uncle,uncle,uncle,n
reader,reader,reader,n
accept,accept,accept,a
stereotype,stereotype,stereotype,n
muslim,muslim,muslim,n
male,male,male,a
sexual,sexual,sexual,a
oppressor,oppressor,oppressor,n
unlikely,unlikely,unlikely,a
question,question,question,n
relevance,relevance,relevance,n
individual,individual,individual,a
crime,crime,crime,n
overall,overall,overall,a
bankruptcy,bankruptcy,bankruptcy,n
muslim,muslim,muslim,a
morality,morality,morality,n
death,death,death,n
sadness,sadness,sadness,n
fear,fear,fear,a
uncertainty,uncertainty,uncertainty,n
describes,describes,describes,n
breast,breast,breast,n
beating,beating,beating,n
taleqani,taleqani,taleqani,a
reference,reference,reference,n
expression,expression,expression,n
grief,grief,grief,n
desperate,desperate,desperate,a
orgiastic,orgiastic,orgiastic,a
pleasure,pleasure,pleasure,n
form,form,form,n
public,public,public,a
mourning,mourning,mourning,n
crowd,crowd,crowd,n
intention,intention,intention,n
ceremony,ceremony,ceremony,n
place,place,place,n
people,people,people,n
touched,touched,touched,a
bodies,body,bodies,n
emotions,emotion,emotions,n
restraint,restraint,restraint,n
guilt,guilt,guilt,n
reader,reader,reader,n
wild,wild,wild,a
frenzy,frenzy,frenzy,n
air,air,air,n
wild,wild,wild,a
magical,magical,magical,a
word,word,word,n
primitive,primitive,primitive,a
dangerous,dangerous,dangerous,a
scholars,scholar,scholars,n
east,east,east,a
western,western,western,a
eastern,eastern,eastern,a
origin,origin,origin,n
romantic,romantic,romantic,a
image,image,image,n
female,female,female,a
seclusion,seclusion,seclusion,n
women,woman,women,n
fact,fact,fact,n
wear,wear,wear,a
veil,veil,veil,a
war,war,war,n
see,see,see,n
depicted,depicted,depicted,a
entire,entire,entire,a
wall,wall,wall,n
hundreds,hundred,hundreds,n
little,little,little,a
posters,poster,posters,n
candidates,candidate,candidates,n
clerical,clerical,clerical,a
single,single,single,a
woman,woman,woman,n
camera,camera,camera,n
posters,poster,posters,n
indi,indi,indi,a
erent,erent,erent,a
yes,yes,yes,n
women,woman,women,n
reform,reform,reform,n
electoral,electoral,electoral,a
law,law,law,n
various,various,various,a
legal,legal,legal,a
codes,code,codes,n
better,better,good,a
representation,representation,representation,n
yes,yes,yes,n
various,various,various,a
struggles,struggle,struggles,n
lot,lot,lot,n
subject,subject,subject,a
interesting,interesting,interesting,a
women,woman,women,n
case,case,case,n
relevant,relevant,relevant,a
topic,topic,topic,n
alice,alice,alice,n
beautiful,beautiful,beautiful,a
body,body,body,n
care,care,care,n
exercise,exercise,exercise,n
good,good,good,a
eating,eating,eating,a
way,way,way,n
terms,term,terms,n
di,di,di,a
erences,erences,erences,n
observation,observation,observation,n
way,way,way,n
guilty,guilty,guilty,a
thing,thing,thing,n
latest,latest,late,a
publication,publication,publication,n
genre,genre,genre,n
almond,almond,almond,n
semi,semi,semi,a
autobiographical,autobiographical,autobiographical,a
exploration,exploration,exploration,n
sexual,sexual,sexual,a
freedom,freedom,freedom,n
national,national,national,a
newspapers,newspaper,newspapers,n
copies,copy,copies,n
france,france,france,n
editions,edition,editions,n
last,last,last,a
year,year,year,n
course,course,course,n
forty,forty,forty,n
something,something,something,n
north,north,north,a
african,african,african,a
author,author,author,n
pseudonym,pseudonym,pseudonym,a
purpose,purpose,purpose,a
grander,grander,grand,n
nobler,nobler,noble,n
desire,desire,desire,n
titillate,titillate,titillate,n
recent,recent,recent,a
interview,interview,interview,n
woman,woman,woman,n
pleasures,pleasure,pleasures,n
celebrate,celebrate,celebrate,n
body,body,body,n
expression,expression,expression,a
life,life,life,n
strike,strike,strike,n
blow,blow,blow,n
centuries,century,centuries,n
old,old,old,a
repression,repression,repression,n
muslim,muslim,muslim,n
women,woman,women,n
free,free,free,a
surprised,surprised,surprised,a
nedjma,nedjma,nedjma,a
writer,writer,writer,n
abuse,abuse,abuse,n
sexual,sexual,sexual,a
intrigue,intrigue,intrigue,n
mistreated,mistreated,mistreated,a
eastern,eastern,eastern,a
woman,woman,woman,n
newspaper,newspaper,newspaper,n
reporter,reporter,reporter,n
book,book,book,n
trouble,trouble,trouble,n
homework,homework,homework,n
numerous,numerous,numerous,a
arabic,arabic,arabic,a
works,work,works,n
sex,sex,sex,n
sexuality,sexuality,sexuality,n
technical,technical,technical,a
medical,medical,medical,a
guides,guide,guides,n
sociopolitical,sociopolitical,sociopolitical,a
ethical,ethical,ethical,a
approaches,approach,approaches,n
kama,kama,kama,n
sutras,sutra,sutras,n
case,case,case,n
native,native,native,a
lineage,lineage,lineage,n
misplaced,misplaced,misplaced,a
sympathies,sympathy,sympathies,n
authority,authority,authority,a
catch,catch,catch,n
breath,breath,breath,n
sociologist,sociologist,sociologist,a
arab,arab,arab,a
world,world,world,n
sick,sick,sick,a
old,old,old,a
man,man,man,n
gangrene,gangrene,gangrene,a
illiteracy,illiteracy,illiteracy,n
poverty,poverty,poverty,n
dictatorships,dictatorship,dictatorships,n
fundamentalism,fundamentalism,fundamentalism,n
touch,touch,touch,a
psychology,psychology,psychology,n
possible,possible,possible,a
women,woman,women,n
men,men,men,n
woman,woman,woman,n
eternal,eternal,eternal,a
forough,forough,forough,n
inferior,inferior,inferior,a
contributed,contributed,contributed,a
discipline,discipline,discipline,n
psychohistory,psychohistory,psychohistory,n
observations,observation,observations,n
people,people,people,n
native,native,native,a
north,north,north,a
african,african,african,a
hometown,hometown,hometown,a
message,message,message,n
religious,religious,religious,a
conviction,conviction,conviction,n
big,big,big,a
fraud,fraud,fraud,n
sanctuary,sanctuary,sanctuary,a
eternal,eternal,eternal,a
forough,forough,forough,n
readers,reader,readers,n
tour,tour,tour,a
frozen,frozen,frozen,a
seasons,season,seasons,n
life,life,life,n
warmth,warmth,warmth,n
fragrant,fragrant,fragrant,a
core,core,core,n
egg,egg,egg,n
poem,poem,poem,n
basic,basic,basic,a
structures,structure,structures,n
sanctuary,sanctuary,sanctuary,a
walls,wall,walls,n
captivity,captivity,captivity,n
walls,wall,walls,n
silent,silent,silent,a
night,night,night,n
plants,plant,plants,n
borders,border,borders,n
state,state,state,n
tone,tone,tone,n
shows,show,shows,n
wall,wall,wall,n
protect,protect,protect,n
space,space,space,n
return,return,return,a
star,star,star,a
return,return,return,n
star,star,star,n
frozen,frozen,frozen,a
seasons,season,seasons,n
ways,way,ways,n
measure,measure,measure,n
fears,fear,fears,n
light,light,light,a
eternal,eternal,eternal,a
forough,forough,forough,n
signicant,signicant,signicant,a
journeys,journey,journeys,n
main,main,main,a
move,move,move,n
cross,cross,cross,n
inner,inner,inner,n
borders,border,borders,n
access,access,access,n
life,life,life,n
glow,glow,glow,a
life,life,life,n
articial,articial,articial,a
compartmentalization,compartmentalization,compartmentalization,n
